long,lat,cpue
-1.5,14.5,NA
-0.5,14.5,NA
-46.5,13.5,NA
-45.5,13.5,575.00
-44.5,13.5,350.00
-43.5,13.5,799.00
-42.5,13.5,1300.00
-41.5,13.5,533.33
-40.5,13.5,NA
-39.5,13.5,600.00
-38.5,13.5,1300.00
-37.5,13.5,268.00
-36.5,13.5,2447.36
-35.5,13.5,4547.57
-34.5,13.5,3906.13
-33.5,13.5,3954.13
-32.5,13.5,3990.05
-31.5,13.5,3675.24
-30.5,13.5,3989.86
-29.5,13.5,4539.18
-28.5,13.5,3907.74
-27.5,13.5,3714.10
-26.5,13.5,2885.38
-25.5,13.5,1303.56
-24.5,13.5,2390.00
-23.5,13.5,2107.29
-22.5,13.5,3446.23
-21.5,13.5,2780.06
-20.5,13.5,2093.94
-19.5,13.5,NA
-18.5,13.5,NA
-17.5,13.5,NA
-16.5,13.5,NA
-15.5,13.5,NA
-14.5,13.5,NA
-13.5,13.5,NA
-12.5,13.5,NA
-11.5,13.5,NA
-10.5,13.5,NA
-9.5,13.5,NA
-8.5,13.5,NA
-7.5,13.5,NA
-6.5,13.5,NA
-5.5,13.5,NA
-4.5,13.5,NA
-3.5,13.5,NA
-2.5,13.5,NA
-1.5,13.5,NA
-0.5,13.5,NA
-46.5,12.5,NA
-45.5,12.5,2225.44
-44.5,12.5,2492.79
-43.5,12.5,3644.25
-42.5,12.5,NA
-41.5,12.5,838.00
-40.5,12.5,2205.00
-39.5,12.5,NA
-38.5,12.5,2684.33
