long,lat,mdd
-9.5,15.5,NA
-8.5,15.5,NA
-7.5,15.5,NA
-6.5,15.5,NA
-5.5,15.5,NA
-4.5,15.5,NA
-3.5,15.5,NA
-2.5,15.5,NA
-1.5,15.5,NA
-0.5,15.5,NA
-39.5,14.5,322.53
-38.5,14.5,320.97
-37.5,14.5,318.97
-36.5,14.5,316.54
-35.5,14.5,313.68
-34.5,14.5,313.47
-33.5,14.5,312.22
-32.5,14.5,305.47
-31.5,14.5,298.15
-30.5,14.5,291.50
-29.5,14.5,282.61
-28.5,14.5,270.47
-27.5,14.5,259.53
-26.5,14.5,255.29
-25.5,14.5,253.87
-24.5,14.5,254.26
-23.5,14.5,260.60
-22.5,14.5,269.19
-21.5,14.5,276.20
-20.5,14.5,275.20
-19.5,14.5,269.37
-18.5,14.5,265.65
-17.5,14.5,NA
-16.5,14.5,NA
-15.5,14.5,NA
-14.5,14.5,NA
-13.5,14.5,NA
-12.5,14.5,NA
-11.5,14.5,NA
-10.5,14.5,NA
-9.5,14.5,NA
-8.5,14.5,NA
-7.5,14.5,NA
-6.5,14.5,NA
-5.5,14.5,NA
-4.5,14.5,NA
-3.5,14.5,NA
-2.5,14.5,NA
-1.5,14.5,NA
-0.5,14.5,NA
-39.5,13.5,303.94
-38.5,13.5,302.14
-37.5,13.5,299.75
-36.5,13.5,299.20
-35.5,13.5,297.63
-34.5,13.5,295.14
-33.5,13.5,292.26
-32.5,13.5,287.02
-31.5,13.5,283.63
-30.5,13.5,280.82
-29.5,13.5,275.19
-28.5,13.5,270.84
-27.5,13.5,267.42
-26.5,13.5,267.24
-25.5,13.5,268.39
-24.5,13.5,271.80
-23.5,13.5,279.09
-22.5,13.5,286.29
-21.5,13.5,286.71
-20.5,13.5,279.77
-19.5,13.5,270.59
-18.5,13.5,261.67
-17.5,13.5,NA
-16.5,13.5,NA
-15.5,13.5,NA
-14.5,13.5,NA
-13.5,13.5,NA
-12.5,13.5,NA
-11.5,13.5,NA
-10.5,13.5,NA
-9.5,13.5,NA
-8.5,13.5,NA
-7.5,13.5,NA
-6.5,13.5,NA
-5.5,13.5,NA
-4.5,13.5,NA
-3.5,13.5,NA
-2.5,13.5,NA
-1.5,13.5,NA
-0.5,13.5,NA
-39.5,12.5,286.39
-38.5,12.5,285.00
-37.5,12.5,284.00
-36.5,12.5,286.27
-35.5,12.5,287.35
-34.5,12.5,287.70
-33.5,12.5,288.58
-32.5,12.5,287.89
-31.5,12.5,288.12
-30.5,12.5,288.46
-29.5,12.5,286.85
-28.5,12.5,286.72
-27.5,12.5,286.26
-26.5,12.5,285.55
-25.5,12.5,286.83
-24.5,12.5,290.59
-23.5,12.5,292.33
-22.5,12.5,293.47
-21.5,12.5,290.42
-20.5,12.5,281.60
-19.5,12.5,267.90
-18.5,12.5,250.02
-17.5,12.5,NA
-16.5,12.5,NA
-15.5,12.5,NA
-14.5,12.5,NA
-13.5,12.5,NA
-12.5,12.5,NA
-11.5,12.5,NA
-10.5,12.5,NA
-9.5,12.5,NA
-8.5,12.5,NA
-7.5,12.5,NA
-6.5,12.5,NA
-5.5,12.5,NA
-4.5,12.5,NA
-3.5,12.5,NA
-2.5,12.5,NA
-1.5,12.5,NA
-0.5,12.5,NA
-39.5,11.5,275.53
-38.5,11.5,274.76
-37.5,11.5,274.51
-36.5,11.5,278.50
-35.5,11.5,283.96
-34.5,11.5,286.69
-33.5,11.5,290.84
-32.5,11.5,294.21
-31.5,11.5,295.96
-30.5,11.5,295.98
-29.5,11.5,295.62
-28.5,11.5,295.94
-27.5,11.5,296.79
-26.5,11.5,297.66
-25.5,11.5,297.94
-24.5,11.5,298.05
-23.5,11.5,294.96
-22.5,11.5,292.76
-21.5,11.5,288.43
-20.5,11.5,275.91
-19.5,11.5,261.50
-18.5,11.5,236.87
-17.5,11.5,NA
-16.5,11.5,NA
-15.5,11.5,NA
-14.5,11.5,NA
-13.5,11.5,NA
